Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G35	G46	0.350461697299006	4.83186520188228e-06
G46	G35	0.350461697299006	4.83186520188231e-06
G9	G10	0.288338884062806	0.000198530563292577
G10	G9	0.288338884062806	0.000198530563292578
G23	G12	0.281107539718126	0.000290581099357471
G12	G23	0.281107539718126	0.000290581099357471
G45	G18	0.270931953301282	0.000488195143522738
G18	G45	0.270931953301282	0.000488195143522738
G50	G21	0.259154060374191	0.000868371007083732
G21	G50	0.259154060374191	0.000868371007083734
G35	G15	0.2372730258162	0.00236465775660566
G15	G35	0.2372730258162	0.00236465775660567
G21	G23	0.237210623547262	0.0023711291470541
G23	G21	0.237210623547262	0.00237112914705411
G17	G21	0.236684266471276	0.00242635711788243
G21	G17	0.236684266471276	0.00242635711788244
G9	G11	0.232321428152244	0.00293098816802085
G11	G9	0.232321428152244	0.00293098816802086
G8	G48	0.23187699438106	0.00298738385532125
G48	G8	0.231876994381059	0.00298738385532127
G9	G14	0.231176083842308	0.00307831967058528
G14	G9	0.231176083842308	0.00307831967058529
G16	G50	0.229316443127485	0.00333183032946878
G50	G16	0.229316443127485	0.00333183032946879
G35	G43	0.229298078878528	0.00333442504690914
G43	G35	0.229298078878528	0.00333442504690915
G15	G18	0.229077725081953	0.00336570170135298
G18	G15	0.229077725081953	0.00336570170135299
G16	G39	0.225681543539089	0.00388239567300049
G39	G16	0.225681543539089	0.00388239567300054
G20	G31	0.221054197178015	0.00470112093984016
G31	G20	0.221054197178015	0.00470112093984019
G26	G39	0.2196668602906	0.00497510125072007
G39	G26	0.2196668602906	0.0049751012507201
G23	G33	0.216804716209726	0.00558596473022263
G33	G23	0.216804716209726	0.00558596473022265
G41	G19	0.216223033056474	0.00571801414409698
G19	G41	0.216223033056474	0.00571801414409699
G32	G14	0.215040279847009	0.00599514568514822
G14	G32	0.215040279847008	0.00599514568514826
G13	G35	0.211509155973604	0.00689520844572062
G35	G13	0.211509155973604	0.00689520844572064
G16	G9	0.208556117048495	0.00773824179920436
G9	G16	0.208556117048495	0.00773824179920437
G32	G7	0.204524112336232	0.00903662803154225
G7	G32	0.204524112336232	0.00903662803154225
G9	G33	0.203851193880958	0.00927114502162978
G33	G9	0.203851193880958	0.00927114502162983
G7	G22	0.203029273097983	0.00956487723816345
G22	G7	0.203029273097983	0.00956487723816346
G14	G21	0.199387901263954	0.0109673693901668
G21	G14	0.199387901263954	0.0109673693901668
G8	G12	0.198188610247743	0.0114673605904024
G12	G8	0.198188610247743	0.0114673605904024
G30	G3	0.19810251525418	0.0115040131248272
G3	G30	0.19810251525418	0.0115040131248272
G50	G32	0.193776476237952	0.013483441914256
G32	G50	0.193776476237952	0.013483441914256
G43	G38	0.192854146284021	0.013942094333001
G38	G43	0.192854146284021	0.013942094333001
G23	G7	0.192076763422305	0.0143392052338863
G7	G23	0.192076763422305	0.0143392052338863
G23	G49	0.191454077452565	0.0146643858449492
G49	G23	0.191454077452565	0.0146643858449492
G21	G11	0.186526314157769	0.0174727994083251
G11	G21	0.186526314157769	0.0174727994083251
G5	G23	0.186325187432976	0.0175967289139675
G23	G5	0.186325187432976	0.0175967289139675
G46	G30	0.186174960369845	0.0176897925277084
G30	G46	0.186174960369845	0.0176897925277086
G32	G26	0.186147118742795	0.0177070868885216
G26	G32	0.186147118742795	0.0177070868885217
G18	G37	0.185769210675571	0.0179432874949735
G37	G18	0.185769210675571	0.0179432874949735
G3	G28	0.185012071392792	0.018424753070373
G28	G3	0.185012071392792	0.0184247530703731
G18	G30	0.184858533953497	0.0185237421052634
G30	G18	0.184858533953497	0.0185237421052635
