SourceGENES,TargetGENES,Interaction,Edges
G27,G49,1,activation
G27,G15,0.898695826579869,activation
G27,G38,0.889030106064477,repression
G27,G28,0.611518920697359,repression
G27,G13,0.585634555347739,activation
G27,G6,0.496555579374792,activation
G32,G12,0.485906794267803,activation
G27,G30,0.477614715866093,activation
G32,G41,0.460283279480936,repression
G27,G26,0.459841344814232,activation
G29,G49,0.456561463038746,activation
G27,G42,0.452267930627993,repression
G27,G8,0.441859179604937,repression
G27,G9,0.436572083348962,activation
G25,G15,0.420385828144012,activation
G27,G4,0.415133976459823,activation
G27,G33,0.404143278560358,repression
G25,G38,0.397158299517123,activation
G29,G38,0.376140823799269,repression
G27,G23,0.360012650794111,activation
G27,G21,0.337809429936382,activation
G27,G36,0.320674144590223,activation
G29,G28,0.316028847423002,repression
G25,G30,0.292949438792178,repression
G27,G7,0.29071525636062,activation
G25,G8,0.286011532588556,activation
G29,G13,0.259777859884587,activation
G25,G9,0.258856840429419,activation
G25,G42,0.257340312744133,repression
G25,G12,0.255538720517847,repression
G27,G32,0.248447165101424,activation
G25,G36,0.247308212826026,activation
G25,G44,0.237665044607552,activation
G25,G41,0.236893789076249,activation
G25,G4,0.225827348820776,repression
G25,G49,0.221795971880251,repression
G27,G43,0.219736716217107,activation
G27,G29,0.219125667260928,repression
G29,G6,0.21665579288478,activation
G27,G50,0.216033284705359,repression
G29,G33,0.211921691943465,activation
G25,G21,0.20833530439494,activation
G25,G13,0.202468066744857,repression
G27,G3,0.192390855632308,repression
G29,G23,0.190514559860129,activation
G32,G14,0.188902046349307,activation
G32,G5,0.186440266137688,repression
G16,G15,0.183926897516523,repression
G29,G4,0.183408435317378,activation
G32,G1,0.181760428626653,repression
G25,G7,0.180833409535327,repression
G25,G40,0.179779490652354,repression
G29,G30,0.178719353144439,activation
G25,G3,0.178093042640564,activation
G29,G9,0.176505828088051,repression
G29,G8,0.170195639593593,activation
G29,G26,0.169402501900613,repression
G32,G47,0.167699113403776,repression
G25,G33,0.167411723354339,repression
G32,G40,0.165734760022098,repression
G32,G45,0.165036498512689,activation
G27,G48,0.164026719604535,activation
G27,G34,0.162458639620547,activation
G32,G44,0.156068272703501,repression
G29,G21,0.154797612007221,repression
G25,G34,0.154667909094977,activation
G25,G2,0.15238712581617,activation
G27,G22,0.151228552420384,repression
G32,G19,0.150784435919376,activation
G32,G8,0.150122281630644,repression
G25,G43,0.147406185032593,repression
G25,G50,0.147172620272583,activation
G27,G40,0.145963880573006,repression
G17,G15,0.14496947071225,repression
G25,G6,0.143679008618201,activation
G32,G21,0.142782083418258,repression
G29,G41,0.139242833172941,repression
G25,G28,0.138135995488777,activation
G25,G26,0.137816929818251,repression
G25,G48,0.136361718057289,repression
G32,G34,0.136079689725977,activation
G29,G32,0.135135020406901,repression
G25,G22,0.133689084745114,repression
G32,G18,0.132808540123471,repression
G25,G18,0.129235420027614,repression
G32,G30,0.127112020957145,activation
G32,G11,0.126881260293244,repression
G32,G9,0.125692697960549,repression
G29,G42,0.124727032796514,activation
G25,G19,0.12348238611523,repression
G27,G41,0.120252502788983,activation
G32,G20,0.120188952224371,repression
G27,G2,0.119545000532593,repression
G18,G15,0.119485096133943,activation
G32,G4,0.115310474938719,activation
G25,G23,0.110999762948071,activation
G29,G29,0.108630899179005,activation
G25,G11,0.108089660015804,repression
G32,G17,0.105842227907669,activation
G32,G2,0.0992580894271115,activation
G32,G22,0.0972288471078614,repression
G27,G16,0.0949687210877864,repression
G29,G15,0.0934458590215723,activation
G39,G15,0.0929959899003888,repression
G32,G3,0.092367902191418,activation
G35,G15,0.0914976033821594,activation
G32,G35,0.0908378717569538,repression
G27,G37,0.0907489590874137,activation
G32,G33,0.0891081984049978,activation
G3,G15,0.088137652183793,repression
G25,G17,0.0878611854067135,activation
G27,G11,0.0873016645219782,activation
G32,G39,0.0858839720207257,repression
G25,G16,0.0848470952334044,repression
G29,G7,0.0830231764687351,activation
G32,G38,0.0798570213215649,repression
G32,G36,0.0793499828240339,repression
G32,G46,0.0792332654242823,activation
G32,G10,0.0782142782533911,activation
G10,G15,0.074026865643702,repression
G29,G50,0.073677091150423,activation
G32,G48,0.0725300568072703,repression
G27,G18,0.0722795422790668,activation
G29,G36,0.0720272547993846,activation
G48,G15,0.0694488164018268,activation
G32,G37,0.0693060979309985,activation
G32,G50,0.0678855868143059,activation
G29,G43,0.0667843054653108,repression
G29,G37,0.0666495877194191,activation
G27,G19,0.0651668876320884,activation
G32,G24,0.0645177631714368,repression
G29,G34,0.063885779415407,repression
G29,G20,0.0635917604993725,repression
G27,G10,0.0624096919258153,activation
G35,G44,0.0613212456429283,activation
G9,G15,0.057520929770096,activation
G10,G44,0.056989598604562,repression
G32,G16,0.0564154477420525,activation
G16,G24,0.0541679035627646,activation
G25,G31,0.0529245260339431,activation
G37,G15,0.0528782065342009,repression
G29,G22,0.0521753906810152,activation
G32,G43,0.050745423833512,repression
G25,G10,0.0502737706810049,repression
