155,1340,421,1806,842,823,1733,1421,1590,1516,478,2329,2028,1823,243,2328,1011,1159,1659,2229,314,181,2046,1236,1070,2435,2004,260,159,1548,674,1320,896,1433,1092,2463,1474,137,1187,1166,1027,1230,702,435,927,1816,510,572,1380,513
219,1145,507,1489,1424,682,1709,833,1066,1389,1722,2322,2125,1047,1171,2253,613,235,914,2189,289,676,1776,605,2211,2436,1157,797,257,1158,176,1710,1075,773,885,2464,1167,1173,863,685,1353,1434,881,1415,266,1680,645,1623,800,231
470,1717,160,496,1878,898,1925,1646,1762,1180,1793,2389,915,1600,1582,2336,426,1430,1334,2279,130,346,2122,1309,1808,2437,701,1164,363,1678,534,412,1440,562,618,2383,843,376,485,1105,932,1941,1255,530,1184,1378,131,675,1500,373
390,1750,826,1094,1168,1073,1050,1891,1668,1251,1612,2298,2077,1496,1947,2246,469,867,1065,2268,1985,1220,1507,692,2215,2438,948,716,1099,121,785,940,395,185,1370,2370,1361,498,844,329,148,1104,322,1436,518,1219,974,580,684,465
251,1522,609,1963,1046,204,1580,1997,1705,1800,1603,2339,1885,1894,2064,2230,1285,768,1185,2175,750,641,1989,687,2251,2439,1767,870,315,1021,525,1064,965,616,864,2465,152,830,754,1608,1546,1481,999,191,731,441,110,877,606,113
91,1399,303,502,78,690,1950,1438,1719,1802,1479,2390,2341,1326,1557,2274,1517,1212,1533,2073,1576,1431,906,479,926,2369,1605,1026,944,836,259,1388,657,1889,1385,2384,1100,1108,468,209,1408,1536,832,739,448,1752,811,661,355,194
283,150,248,1090,627,921,1218,1966,1196,1867,1902,2391,2231,1213,2106,2197,1513,335,1096,2310,793,634,2032,929,1384,2440,996,512,888,635,244,1242,912,2069,1452,2466,901,1418,1289,1347,247,1537,666,764,816,550,65,1284,1106,413
287,154,317,1332,1847,957,1441,1860,1636,1019,1769,2283,2206,771,1201,2054,1132,1095,242,2254,880,1193,1949,586,1919,2240,1616,730,458,621,147,72,913,1030,935,2467,1469,1486,1022,1455,1204,1401,958,336,854,1102,839,892,1382,462
77,28,80,856,1330,563,1468,1198,1152,1864,990,2392,2304,1666,316,2295,1495,1080,1239,2220,1890,1564,2021,323,2174,2312,1338,1053,420,1749,135,1906,788,1751,1254,2468,1621,1592,1109,1290,1306,1542,873,481,709,1765,205,714,679,298
27,30,74,307,1007,1160,1936,1934,1551,808,399,2346,2277,1473,1406,2335,1494,1633,1614,2343,1852,1257,946,721,2133,2441,1344,442,1045,1465,753,1815,650,1933,1423,2327,982,1508,182,890,828,1040,995,1471,707,1078,693,1178,796,733
319,910,392,1639,1233,1249,1520,1716,1101,642,1593,2393,1948,1629,2044,2191,751,902,1439,2309,977,964,1824,226,1645,2376,722,506,1125,1503,51,1091,762,369,1136,2469,250,1599,544,1556,520,1302,897,1658,578,1983,928,1790,404,40
3,1,2,9,20,32,201,1110,2043,2256,2235,2394,2416,2203,2182,2420,1259,1333,2238,2431,1541,2126,2260,1876,2368,2442,2172,2118,1535,2181,1252,2158,2059,2290,2010,2470,2143,1461,2190,1015,1420,2210,1937,2201,1944,1451,827,893,1525,1367
