Gene,MaxActivators,MaxRepressors,Threshold
G1, 0, 0, 95
G2, 0, 0, 95
G3, 1, 1, 95
G4, 1, 1, 95
G5, 1, 1, 95
G6, 2, 2, 95
G7, 2, 2, 95
G8, 1, 1, 95
G9, 1, 1, 95
G10, 1, 1, 95
G11, 2, 2, 95
G12, 0, 0, 95
G13, 1, 1, 95
G14, 2, 2, 95
G15, 2, 2, 95
G16, 1, 1, 95
G17, 0, 0, 95
G18, 0, 0, 95
G19, 1, 1, 95
G20, 1, 1, 95
G21, 0, 0, 95
G22, 1, 1, 95
G23, 2, 2, 95
G24, 0, 0, 95
G25, 1, 1, 95
G26, 0, 0, 95
G27, 2, 2, 95
G28, 1, 1, 95
G29, 1, 1, 95
G30, 2, 2, 95
G31, 2, 2, 95
G32, 1, 1, 95
G33, 0, 0, 95
G34, 1, 1, 95
G35, 0, 0, 95
G36, 2, 2, 95
G37, 2, 2, 95
G38, 1, 1, 95
G39, 2, 2, 95
G40, 2, 2, 95
G41, 2, 2, 95
G42, 2, 2, 95
G43, 1, 1, 95
G44, 1, 1, 95
G45, 1, 1, 95
G46, 0, 0, 95
G47, 2, 2, 95
G48, 0, 0, 95
G49, 0, 0, 95
G50, 0, 0, 95
G51, 1, 1, 95
G52, 0, 0, 95
G53, 1, 1, 95
G54, 2, 2, 95
G55, 0, 0, 95
G56, 0, 0, 95
G57, 0, 0, 95
G58, 2, 2, 95
G59, 1, 1, 95
G60, 2, 2, 95
G61, 0, 0, 95
G62, 1, 1, 95
G63, 1, 1, 95
G64, 1, 1, 95
G65, 0, 0, 95
G66, 0, 0, 95
G67, 2, 2, 95
G68, 1, 1, 95
G69, 1, 1, 95
G70, 0, 0, 95
G71, 1, 1, 95
G72, 1, 1, 95
G73, 1, 1, 95
G74, 0, 0, 95
G75, 1, 1, 95
G76, 1, 1, 95
G77, 0, 0, 95
G78, 0, 0, 95
G79, 1, 1, 95
G80, 2, 2, 95
G81, 1, 1, 95
G82, 1, 1, 95
G83, 1, 1, 95
G84, 1, 1, 95
G85, 2, 2, 95
G86, 0, 0, 95
G87, 1, 1, 95
G88, 1, 1, 95
G89, 1, 1, 95
G90, 0, 0, 95
G91, 1, 1, 95
G92, 0, 0, 95
G93, 2, 2, 95
G94, 0, 0, 95
G95, 1, 1, 95
G96, 0, 0, 95
G97, 0, 0, 95
G98, 0, 0, 95
G99, 0, 0, 95
G100, 0, 0, 95
