Gene,MaxActivators,MaxRepressors,Threshold
G1, 0, 0, 95
G2, 2, 2, 95
G3, 1, 1, 95
G4, 1, 1, 95
G5, 0, 0, 95
G6, 0, 0, 95
G7, 0, 0, 95
G8, 1, 1, 95
G9, 0, 0, 95
G10, 2, 2, 95
G11, 1, 1, 95
G12, 2, 2, 95
G13, 0, 0, 95
G14, 0, 0, 95
G15, 2, 2, 95
G16, 1, 1, 95
G17, 2, 2, 95
G18, 0, 0, 95
G19, 1, 1, 95
G20, 1, 1, 95
G21, 2, 2, 95
G22, 0, 0, 95
G23, 1, 1, 95
G24, 0, 0, 95
G25, 1, 1, 95
G26, 1, 1, 95
G27, 2, 2, 95
G28, 1, 1, 95
G29, 1, 1, 95
G30, 1, 1, 95
G31, 1, 1, 95
G32, 0, 0, 95
G33, 1, 1, 95
G34, 2, 2, 95
G35, 0, 0, 95
G36, 0, 0, 95
G37, 1, 1, 95
G38, 1, 1, 95
G39, 2, 2, 95
G40, 1, 1, 95
G41, 0, 0, 95
G42, 2, 2, 95
G43, 0, 0, 95
G44, 0, 0, 95
G45, 2, 2, 95
G46, 1, 1, 95
G47, 2, 2, 95
G48, 1, 1, 95
G49, 2, 2, 95
G50, 1, 1, 95
G51, 2, 2, 95
G52, 2, 2, 95
G53, 0, 0, 95
G54, 0, 0, 95
G55, 1, 1, 95
G56, 0, 0, 95
G57, 1, 1, 95
G58, 1, 1, 95
G59, 1, 1, 95
G60, 1, 1, 95
G61, 0, 0, 95
G62, 0, 0, 95
G63, 2, 2, 95
G64, 0, 0, 95
G65, 0, 0, 95
G66, 2, 2, 95
G67, 1, 1, 95
G68, 1, 1, 95
G69, 0, 0, 95
G70, 1, 1, 95
G71, 0, 0, 95
G72, 1, 1, 95
G73, 0, 0, 95
G74, 0, 0, 95
G75, 2, 2, 95
G76, 1, 1, 95
G77, 1, 1, 95
G78, 0, 0, 95
G79, 0, 0, 95
G80, 0, 0, 95
G81, 2, 2, 95
G82, 1, 1, 95
G83, 0, 0, 95
G84, 2, 2, 95
G85, 1, 1, 95
G86, 1, 1, 95
G87, 1, 1, 95
G88, 0, 0, 95
G89, 2, 2, 95
G90, 1, 1, 95
G91, 1, 1, 95
G92, 0, 0, 95
G93, 1, 1, 95
G94, 1, 1, 95
G95, 1, 1, 95
G96, 0, 0, 95
G97, 0, 0, 95
G98, 1, 1, 95
G99, 1, 1, 95
G100, 0, 0, 95
