Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.031271	0.497839	0.049436
G2	-	G1	-0.029152	0.472999	-0.043787
G3	+	G1	0.010664	0.489533	0.016577
G4	-	G1	-0.052300	0.620038	-0.102977
G5	+	G1	0.020717	0.504006	0.033158
G6	+	G1	0.034324	0.535454	0.058363
G7	+	G1	0.064912	0.671878	0.138496
G8	-	G1	-0.004904	0.486001	-0.007568
G9	-	G1	-0.020657	0.428265	-0.028093
G10	+	G1	0.012445	0.498342	0.019695
G11	+	G1	0.012566	0.422035	0.016841
G12	+	G1	0.000293	0.441310	0.000411
G13	+	G1	0.004985	0.282756	0.004476
G14	+	G1	0.010434	0.338891	0.011229
G15	+	G1	0.022248	0.507684	0.035869
G16	+	G1	0.000103	0.229880	0.000075
G17	+	G1	0.117877	0.984944	0.368691
G18	+	G1	0.014844	0.379765	0.017902
G19	+	G1	0.062598	0.795635	0.158160
G20	+	G1	0.032369	0.534384	0.054928
G21	-	G1	-0.001273	0.499988	-0.002021
G22	-	G1	-0.010909	0.300067	-0.010395
G23	+	G1	0.030011	0.502027	0.047845
G24	+	G1	0.030011	0.481645	0.045902
G25	+	G1	0.077747	0.907694	0.224102
G26	+	G1	0.093331	0.983350	0.291444
G27	+	G1	0.008801	0.323253	0.009035
G28	-	G1	-0.022966	0.388704	-0.028348
G29	-	G1	-0.031906	0.447210	-0.045312
G30	+	G1	0.032065	0.451020	0.045925
G31	+	G1	0.038841	0.593869	0.073250
G32	+	G1	0.130574	0.999314	0.414361
G33	+	G1	0.157364	0.999985	0.499713
G34	-	G1	-0.023052	0.478103	-0.034998
G35	+	G1	0.057681	0.780229	0.142914
G36	+	G1	0.128880	0.999312	0.408986
G37	+	G1	0.104480	0.984080	0.326503
G38	+	G1	0.032165	0.557938	0.056988
G39	+	G1	0.114788	0.908650	0.331218
G40	+	G1	0.034650	0.451860	0.049720
G41	+	G1	0.065285	0.849508	0.176118
G42	+	G1	0.009417	0.230501	0.006893
G43	+	G1	0.013687	0.461925	0.020077
G44	+	G1	0.040640	0.487830	0.062957
G45	+	G1	0.132462	0.998859	0.420161
G46	+	G1	0.061689	0.851073	0.166723
G47	+	G1	0.017964	0.287261	0.016387
G48	+	G1	0.086339	0.944561	0.258975
G49	-	G1	-0.011725	0.283722	-0.010564
G50	-	G1	-0.029467	0.352617	-0.032996
G1	+	G2	0.106300	0.996520	0.336387
G2	+	G2	0.017542	0.413232	0.023020
G3	-	G2	-0.012021	0.491239	-0.018753
G4	-	G2	-0.034320	0.494068	-0.053846
G5	+	G2	0.009974	0.493548	0.015632
G6	+	G2	0.043374	0.654610	0.090163
G7	+	G2	0.046514	0.573072	0.084647
G8	+	G2	0.001666	0.485071	0.002566
G9	+	G2	0.008500	0.412128	0.011124
G10	+	G2	0.013916	0.500579	0.022121
G11	+	G2	0.089330	0.950483	0.269627
G12	-	G2	-0.002958	0.441501	-0.004148
G13	-	G2	-0.011187	0.299449	-0.010638
G14	-	G2	-0.008460	0.332982	-0.008945
G15	+	G2	0.019139	0.505303	0.030712
G16	-	G2	-0.049768	0.538025	-0.085030
G17	+	G2	0.052430	0.689485	0.114795
G18	+	G2	0.007293	0.367207	0.008504
G19	+	G2	0.102454	0.987533	0.321292
G20	+	G2	0.106261	0.993615	0.335283
G21	+	G2	0.000506	0.499946	0.000803
G22	+	G2	0.008028	0.294644	0.007511
G23	+	G2	0.019463	0.481020	0.029730
G24	+	G2	0.016198	0.456411	0.023477
G25	+	G2	0.039741	0.555864	0.070150
G26	+	G2	0.140674	0.999958	0.446700
G27	+	G2	0.008467	0.323641	0.008702
G28	+	G2	0.003559	0.320330	0.003620
G29	-	G2	-0.001822	0.391623	-0.002266
G30	+	G2	0.024513	0.424557	0.033049
G31	+	G2	0.015365	0.409117	0.019961
G32	+	G2	0.119095	0.999222	0.377902
G33	+	G2	0.117579	0.999003	0.373007
G34	+	G2	0.020548	0.475619	0.031035
G35	+	G2	0.038683	0.607835	0.074667
G36	+	G2	0.102052	0.995716	0.322685
G37	+	G2	0.059971	0.767802	0.146221
G38	+	G2	0.004551	0.394456	0.005701
G39	+	G2	0.022904	0.458371	0.033339
G40	-	G2	-0.028212	0.417216	-0.037378
G41	+	G2	0.079428	0.958616	0.241789
G42	-	G2	-0.015206	0.245669	-0.011863
G43	+	G2	0.022396	0.479339	0.034091
G44	-	G2	-0.032201	0.418451	-0.042790
G45	+	G2	0.035943	0.585041	0.066777
G46	+	G2	0.064202	0.904854	0.184481
G47	+	G2	0.016133	0.285346	0.014619
G48	+	G2	0.048071	0.698264	0.106591
G49	-	G2	-0.017721	0.308823	-0.017378
G50	-	G2	-0.026137	0.342594	-0.028435
G1	+	G3	0.005942	0.359389	0.006782
G2	+	G3	0.014702	0.499824	0.023335
G3	-	G3	-0.001793	0.484228	-0.002757
G4	+	G3	0.015836	0.451191	0.022690
G5	-	G3	-0.003912	0.490525	-0.006093
G6	+	G3	0.004777	0.371352	0.005633
