Parent	Type	Child	Weight	Probability	Score
G1	-	G1	-0.002311	0.223530	-0.002226
G2	-	G1	-0.013215	0.398797	-0.022703
G3	+	G1	0.189793	0.999548	0.817262
G4	+	G1	0.074037	0.773650	0.246756
G5	+	G1	0.048510	0.568692	0.118847
G6	+	G1	0.068731	0.711536	0.210682
G7	+	G1	0.060398	0.627242	0.163206
G8	-	G1	-0.048091	0.566624	-0.117392
G9	+	G1	0.006228	0.387836	0.010406
G10	+	G1	0.116821	0.943548	0.474858
G11	-	G1	-0.096348	0.887998	-0.368579
G12	+	G1	0.053077	0.535911	0.122540
G13	-	G1	-0.025180	0.484665	-0.052575
G14	+	G1	0.107344	0.934872	0.432322
G15	+	G1	0.035264	0.486973	0.073980
G16	+	G1	0.002628	0.461406	0.005224
G17	+	G1	0.223177	0.999978	0.961431
G18	-	G1	-0.109526	0.914840	-0.431658
G19	+	G1	0.212853	0.999946	0.916925
G20	+	G1	0.023025	0.461286	0.045755
G21	-	G1	-0.019637	0.409884	-0.034675
G22	-	G1	-0.109424	0.684294	-0.322575
G23	+	G1	0.003428	0.397366	0.005868
G24	-	G1	-0.026077	0.355910	-0.039982
G25	+	G1	0.042640	0.494384	0.090815
G26	-	G1	-0.003438	0.488376	-0.007233
G27	+	G1	0.040900	0.516092	0.090934
G28	+	G1	0.049308	0.477225	0.101372
G29	-	G1	-0.049310	0.469733	-0.099784
G30	-	G1	-0.050039	0.572388	-0.123388
G31	-	G1	-0.055147	0.451842	-0.107346
G32	-	G1	-0.014247	0.413368	-0.025371
G33	+	G1	0.109829	0.897363	0.424583
G34	+	G1	0.029478	0.422345	0.053634
G35	-	G1	-0.025911	0.349664	-0.039032
G36	-	G1	-0.004850	0.491222	-0.010264
G37	+	G1	0.010700	0.364191	0.016788
G38	+	G1	0.010693	0.367566	0.016933
G39	-	G1	-0.008437	0.303775	-0.011041
G40	+	G1	0.015601	0.343127	0.023062
G41	-	G1	-0.010708	0.352814	-0.016276
G42	+	G1	0.024587	0.389417	0.041248
G43	-	G1	-0.027942	0.350165	-0.042151
G44	+	G1	0.024310	0.420079	0.043994
G45	+	G1	0.123031	0.956499	0.506964
G46	+	G1	0.148515	0.818472	0.523664
G47	+	G1	0.151619	0.994102	0.649324
G48	-	G1	-0.026605	0.429856	-0.049268
G49	-	G1	-0.025365	0.384042	-0.041965
G50	+	G1	0.152769	0.992414	0.653137
G1	+	G2	0.025983	0.379299	0.042457
G2	+	G2	0.103290	0.999458	0.444734
G3	+	G2	0.014479	0.319711	0.019942
G4	+	G2	0.025381	0.574453	0.062813
G5	+	G2	0.012824	0.432536	0.023896
G6	+	G2	0.094537	0.997738	0.406344
G7	+	G2	0.108432	0.999043	0.466679
G8	+	G2	0.089905	0.997303	0.386266
G9	+	G2	0.021637	0.520706	0.048536
G10	+	G2	0.060962	0.929267	0.244049
G11	+	G2	0.102921	0.999456	0.443143
G12	+	G2	0.014551	0.496657	0.031134
G13	-	G2	-0.004237	0.471850	-0.008612
G14	+	G2	0.141776	0.999998	0.610770
G15	+	G2	0.074653	0.972146	0.312647
G16	+	G2	0.009415	0.464935	0.018858
G17	+	G2	0.007148	0.350895	0.010805
G18	+	G2	0.001537	0.343330	0.002273
G19	+	G2	0.028427	0.573850	0.070275
G20	-	G2	-0.011672	0.459574	-0.023109
G21	+	G2	0.017012	0.469970	0.034443
G22	+	G2	0.033790	0.462023	0.067255
G23	+	G2	0.106938	0.999725	0.460562
G24	+	G2	0.036411	0.623631	0.097822
G25	+	G2	0.006670	0.456126	0.013106
G26	+	G2	0.007734	0.491266	0.016367
G27	+	G2	0.022351	0.527501	0.050791
G28	+	G2	0.046710	0.773517	0.155652
G29	+	G2	0.039684	0.645211	0.110304
G30	+	G2	0.083787	0.994978	0.359143
G31	+	G2	0.010112	0.264334	0.011515
G32	+	G2	0.020480	0.497813	0.043921
G33	+	G2	0.019432	0.407814	0.034140
G34	+	G2	0.016306	0.421032	0.029576
G35	+	G2	0.027651	0.418403	0.049840
G36	-	G2	-0.009302	0.495590	-0.019859
G37	-	G2	-0.023186	0.437861	-0.043736
G38	+	G2	0.056474	0.696972	0.169567
G39	-	G2	-0.016624	0.343424	-0.024594
G40	-	G2	-0.021224	0.408041	-0.037308
G41	-	G2	-0.002188	0.340655	-0.003211
G42	-	G2	-0.004129	0.353085	-0.006281
G43	+	G2	0.052582	0.754923	0.171008
G44	+	G2	0.038462	0.737952	0.122274
G45	+	G2	0.005262	0.290980	0.006597
G46	+	G2	0.021616	0.406252	0.037831
G47	+	G2	0.009783	0.311225	0.013116
G48	+	G2	0.012382	0.424960	0.022668
G49	+	G2	0.018597	0.418803	0.033554
G50	-	G2	-0.000155	0.245154	-0.000164
G1	+	G3	0.055041	0.507217	0.120270
G2	+	G3	0.076691	0.865808	0.286049
G3	+	G3	0.027244	0.335032	0.039321
