Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G42	G25	0.391983987851253	2.48988147617785e-07
G25	G42	0.391983987851253	2.48988147617788e-07
G10	G14	0.3529894711725	4.08085861207565e-06
G14	G10	0.3529894711725	4.08085861207568e-06
G50	G29	0.295777117637272	0.000132730608222517
G29	G50	0.295777117637272	0.000132730608222518
G18	G29	0.292918603817567	0.000155143957367063
G29	G18	0.292918603817566	0.000155143957367063
G34	G29	0.285592086971621	0.0002297174699629
G29	G34	0.285592086971621	0.0002297174699629
G50	G7	0.275799539799063	0.000381845219391633
G7	G50	0.275799539799063	0.000381845219391633
G30	G13	0.263478105724249	0.000705015555716126
G13	G30	0.263478105724249	0.00070501555571614
G30	G4	0.252287663160381	0.00120039261456111
G4	G30	0.252287663160381	0.00120039261456111
G45	G39	0.248518030710275	0.00142862751239841
G39	G45	0.248518030710274	0.00142862751239842
G5	G47	0.240568509831424	0.00204482891293914
G47	G5	0.240568509831424	0.00204482891293915
G48	G37	0.239586163098685	0.00213578808576644
G37	G48	0.239586163098684	0.00213578808576646
G18	G27	0.238081261269617	0.0022822753392122
G27	G18	0.238081261269617	0.0022822753392122
G42	G7	0.225790519792165	0.00386476585790733
G7	G42	0.225790519792165	0.00386476585790736
G37	G29	0.21669159177811	0.00561142985844463
G29	G37	0.21669159177811	0.00561142985844463
G20	G27	0.21630153647366	0.00570003160226055
G27	G20	0.21630153647366	0.00570003160226055
G29	G3	0.212967180617093	0.00650992973236833
G3	G29	0.212967180617093	0.00650992973236837
G19	G27	0.211735907161476	0.00683398834354819
G27	G19	0.211735907161476	0.00683398834354821
G47	G35	0.207627572903354	0.00802160687242945
G35	G47	0.207627572903354	0.00802160687242952
G50	G13	0.207568586168585	0.00803991494421672
G13	G50	0.207568586168585	0.00803991494421672
G23	G7	0.205006646304385	0.00887170690919483
G7	G23	0.205006646304385	0.00887170690919483
G30	G24	0.203730021074181	0.00931394153580194
G24	G30	0.203730021074181	0.00931394153580199
G10	G28	0.202959977406182	0.00959001333398863
G28	G10	0.202959977406182	0.00959001333398871
G28	G9	0.201944059676803	0.00996527910053181
G9	G28	0.201944059676803	0.00996527910053185
G50	G33	0.201553432157927	0.0101129845584765
G33	G50	0.201553432157927	0.0101129845584765
G40	G34	0.200908963643019	0.0103608969053367
G34	G40	0.200908963643019	0.0103608969053367
G31	G12	0.199892216301752	0.0107629154514878
G12	G31	0.199892216301752	0.0107629154514878
G37	G31	0.19985930087255	0.0107761565470902
G31	G37	0.19985930087255	0.0107761565470902
G35	G23	0.19911782886531	0.0110782586153607
G23	G35	0.19911782886531	0.0110782586153607
G31	G11	0.196428946609895	0.0122372349534052
G11	G31	0.196428946609895	0.0122372349534052
G2	G1	0.195925466090698	0.0124656998215249
G1	G2	0.195925466090698	0.0124656998215249
G3	G20	0.195664372869331	0.0125856431002117
G20	G3	0.195664372869331	0.0125856431002117
G16	G43	0.193807565579783	0.0134682147734878
G43	G16	0.193807565579783	0.0134682147734878
G47	G15	0.193396070196014	0.0136709834707975
G15	G47	0.193396070196014	0.0136709834707976
G45	G16	0.191992457512645	0.0143828596104842
G16	G45	0.191992457512645	0.0143828596104842
G38	G4	0.189871960844903	0.0155197242858191
G4	G38	0.189871960844903	0.0155197242858192
G31	G41	0.188181828524334	0.0164811924808713
G41	G31	0.188181828524334	0.0164811924808713
G37	G23	0.184821968570528	0.0185473844854755
G23	G37	0.184821968570528	0.0185473844854755
G18	G3	0.184298467453609	0.0188887477393434
G3	G18	0.184298467453609	0.0188887477393436
G45	G13	0.183759848286724	0.0192456366615546
G13	G45	0.183759848286724	0.0192456366615546
