385,8515,8589,2429,8634,8696,1154,8254,8781,8782,545,1049,8877,4289,7963,670,2780,6950,666,5880,7206,256,2933,1950,9003,9016,9117,2470,7886,8296,5791,9143,1369,694,4133,817,2467,8052,2979,165,9204,9268,1102,9369,9470,8325,7921,8103,9503,648,1941,1275,4951,6939,7449,1724,9625,3004,3991,6968,1301,1651,927,9740,7777,7281,697,3417,1211,3597,3335,4060,9864,7111,7266,1126,9974,1613,8162,6086,8430,7859,4324,2479,10060,8228,8115,10080,8499,2231,10125,10141,1007,1027,10166,1117,3306,4834,10186,7911,4552
364,25,7,14,36,51,68,552,2824,8241,8141,8874,8878,4013,2278,5507,3662,1686,4120,2418,8049,8994,2497,6211,9004,9017,9118,7397,7876,9133,4717,9144,3365,8169,1741,5591,2087,9191,7432,9200,9205,9269,8170,9370,9471,9480,9489,9495,9504,5587,7217,9608,9612,5146,5829,8355,9626,5457,7493,9729,7987,6504,8356,9741,9841,1764,7899,3886,7185,4990,9854,6544,9865,7675,7988,8173,9975,4620,10023,8333,10036,10047,10057,5164,10061,6024,10073,10081,10102,6115,10126,10142,10159,6919,8191,10173,3745,10179,10187,10192,7912
412,993,2475,3677,6985,7947,6242,6286,7093,8783,7352,3442,8879,4875,3653,5411,2901,7518,7083,153,4446,6312,5384,2480,5174,9018,7198,1911,1136,7610,1094,6615,7313,904,1952,7467,3474,4285,5362,152,8471,9270,7235,9371,3743,1846,3754,3326,9505,3577,7173,572,107,2170,341,5263,9627,1125,4068,5301,5875,7090,4462,9742,3258,1751,5747,5064,6388,3311,691,6737,9866,6391,6061,7307,8281,5380,5236,6948,10037,5666,4986,7717,7848,4389,4816,8335,8109,7529,7961,8024,3041,5662,6187,1133,5515,484,67,3040,1601
350,8516,8590,5978,8635,8697,4818,6218,6383,8784,3736,7292,8880,1802,264,5671,2989,6895,2520,536,6513,5584,2946,2851,5868,9019,6453,2050,1163,6785,977,8159,6472,2319,2437,5581,4769,1758,5800,62,9206,9271,5241,9372,2244,6183,2961,6573,9506,5977,1746,205,358,575,210,7674,9628,1547,3891,7740,5696,4097,3524,9743,2562,1280,6081,4226,5337,5129,2629,5006,9867,4837,6142,5510,7186,4527,3339,4917,7616,4350,2270,4876,7462,3211,3937,5542,8500,6377,7865,7621,1666,6983,6809,1947,6299,806,5353,7625,681
413,2693,5055,2774,7874,8377,5376,2202,7997,8785,6559,4863,8881,2674,1528,4996,2718,125,4890,325,5798,2439,5173,1574,3807,9020,8256,6543,2222,7727,4905,9145,6960,113,703,7491,2910,7133,7078,448,9207,9272,7478,9373,7027,7425,6954,7453,9507,7251,3534,176,586,2758,1606,2567,9629,2213,7627,8006,6894,7218,5831,9744,7588,454,7374,2612,7037,1867,1544,7140,9868,4984,3229,8153,8480,6190,3057,6932,8114,6371,6761,6245,8283,1808,952,10082,8501,7399,8440,7901,132,7701,4360,279,2779,3605,5758,3093,2827
390,30,9,15,33,48,63,355,2143,7672,7738,8068,8882,1616,1669,3178,7110,2508,6804,2589,8989,8995,5178,5834,9005,9021,9119,6796,8151,9134,4149,9146,2755,8186,1558,6250,5138,9192,8200,9201,9208,9273,8187,9374,9472,9481,9490,9496,9508,7404,7357,9609,9613,5945,3059,9619,9630,5827,2533,6823,7300,7747,9736,9745,9842,4006,9848,5080,5903,5161,9855,5303,9869,7923,7531,9969,9976,5026,10024,8365,10038,10048,7896,6963,10062,8309,10074,10083,10103,7249,10127,10143,10160,6673,10167,10174,4521,10180,10188,10193,10199
342,8517,8389,3383,8249,8698,5484,1447,2374,8786,2892,5003,8883,1017,4311,4485,1716,4408,5436,1833,890,845,4731,1594,8017,9022,7178,3385,4372,2900,615,8403,2670,2292,1793,1002,2690,3840,4357,3183,7613,9274,5144,9375,4559,4253,4269,3980,9509,5887,3218,2458,2021,2164,1670,5078,9631,2063,4557,2822,4723,4519,1837,9746,5225,1440,1563,3816,4098,2251,3514,3002,9870,2393,5658,5898,8481,2721,6000,2943,4911,6162,2804,4558,6874,918,6578,7509,6670,2784,4403,7870,442,4239,2240,1511,1972,3549,2716,1138,979
414,8518,8591,980,8636,8699,5739,2007,7654,8787,5049,2754,8884,3966,3023,4296,5501,3477,3561,1340,5497,2309,6181,3176,5673,9023,3602,2310,5137,7293,1506,7564,2133,2040,801,4453,4710,4567,4201,89,9209,9275,3086,9376,1794,5855,4080,6215,9510,6460,2986,1196,629,1172,551,5807,9632,6052,3726,2830,5856,4279,2091,9747,4561,1295,5955,1336,2815,1925,807,1335,9871,3777,3275,5553,8189,3548,5527,5558,6930,7669,3719,4974,7680,3919,5437,7849,7664,6728,8266,7721,2657,4648,6084,4405,5110,632,249,4383,500
368,8519,8592,6523,8637,8700,7623,7069,7574,8788,6548,6711,8885,2089,645,5676,2641,4509,3143,985,6536,4245,5101,1187,6220,9024,3735,4610,2837,5902,772,8078,5653,651,3953,7053,1151,3267,3278,108,9210,9276,6632,9377,5938,6771,1863,5835,9511,2264,3173,91,724,498,1223,6541,9633,1687,6134,7689,6228,5707,6022,9748,4231,1359,6386,864,3595,5065,1518,2404,9872,5465,4505,5610,7593,5936,5656,3704,7222,4955,1994,1103,7318,3614,4459,8264,8387,6853,8441,8287,2833,6883,7204,1495,6035,1139,1005,7824,330
392,31,42,56,84,569,1021,2501,7197,8459,8348,8875,8886,1232,1032,7344,3293,768,5946,1099,5615,8025,3428,3234,9006,9025,8051,7321,4393,8350,2331,9147,7530,735,673,6007,2015,8353,8299,7126,9211,9277,8414,9378,9473,9482,7843,9497,9512,7527,5954,748,3575,2582,3429,9620,9634,1836,7272,8161,6205,5859,9737,9749,8172,1048,7589,3836,8219,2905,9856,2579,9873,7539,7317,9970,9977,4871,10025,7878,7175,10049,8041,3445,10063,1703,6437,10084,10104,7665,10128,10144,5699,7366,5399,796,7051,8311,7622,8312,7890
