Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.100374	0.998880	0.307498
G2	+	G1	0.087728	0.995218	0.267770
G3	-	G1	-0.000724	0.498351	-0.001107
G4	+	G1	0.007500	0.485460	0.011167
G5	+	G1	0.030941	0.499670	0.047416
G6	+	G1	0.078823	0.948334	0.229256
G7	+	G1	0.028817	0.489408	0.043253
G8	+	G1	0.028512	0.491693	0.042996
G9	+	G1	0.004227	0.331363	0.004296
G10	+	G1	0.047881	0.689062	0.101188
G11	+	G1	0.006582	0.495941	0.010011
G12	+	G1	0.033016	0.447459	0.045309
G13	+	G1	0.069150	0.896429	0.190114
G14	-	G1	-0.017986	0.391384	-0.021590
G15	-	G1	-0.008098	0.321360	-0.007981
G16	+	G1	0.007135	0.383220	0.008385
G17	+	G1	0.023798	0.475910	0.034735
G18	-	G1	-0.001801	0.271003	-0.001497
G19	-	G1	-0.028525	0.519220	-0.045425
G20	+	G1	0.047306	0.577822	0.083832
G21	+	G1	0.007312	0.487529	0.010933
G22	+	G1	0.008118	0.479432	0.011937
G23	+	G1	0.019490	0.344586	0.020597
G24	+	G1	0.107999	0.999417	0.331034
G25	+	G1	0.116855	0.999837	0.358330
G26	+	G1	0.009145	0.408711	0.011464
G27	+	G1	0.130941	0.999982	0.401584
G28	+	G1	0.053396	0.859649	0.140779
G29	+	G1	0.003800	0.497835	0.005802
G30	+	G1	0.004284	0.348907	0.004584
G31	+	G1	0.051716	0.875918	0.138930
G32	+	G1	0.058633	0.925126	0.166360
G33	+	G1	0.000474	0.400341	0.000581
G34	+	G1	0.099649	0.998317	0.305104
G35	+	G1	0.025874	0.400416	0.031775
G36	-	G1	-0.003031	0.485686	-0.004515
G37	+	G1	0.048072	0.701513	0.103426
G38	+	G1	0.047722	0.759730	0.111195
G39	+	G1	0.010729	0.381919	0.012567
G40	+	G1	0.046010	0.776527	0.109576
G41	+	G1	0.029434	0.593849	0.053609
G42	+	G1	0.099706	0.998734	0.305406
G43	+	G1	0.004764	0.265651	0.003882
G44	+	G1	0.060272	0.813685	0.150411
G45	+	G1	0.036726	0.542934	0.061154
G46	-	G1	-0.011480	0.252433	-0.008888
G47	+	G1	0.054397	0.746725	0.124578
G48	-	G1	-0.009997	0.322732	-0.009895
G49	+	G1	0.068537	0.963070	0.202436
G50	-	G1	-0.007467	0.498982	-0.011427
G1	+	G2	0.035119	0.683570	0.073626
G2	+	G2	0.078026	0.986641	0.236106
G3	-	G2	-0.001988	0.498556	-0.003040
G4	+	G2	0.013763	0.493132	0.020815
G5	+	G2	0.025128	0.431510	0.033256
G6	+	G2	0.070553	0.911668	0.197269
G7	+	G2	0.024467	0.471894	0.035410
G8	+	G2	0.024337	0.454918	0.033955
G9	-	G2	-0.025653	0.407280	-0.032043
G10	-	G2	-0.026469	0.388621	-0.031548
G11	-	G2	-0.005532	0.495393	-0.008405
G12	+	G2	0.042895	0.552684	0.072709
G13	+	G2	0.064432	0.863706	0.170677
G14	+	G2	0.053281	0.839077	0.137114
G15	+	G2	0.015685	0.355181	0.017086
G16	+	G2	0.014481	0.397662	0.017661
G17	+	G2	0.050166	0.819725	0.126121
G18	+	G2	0.014869	0.323089	0.014734
G19	-	G2	-0.001524	0.335105	-0.001567
G20	+	G2	0.048396	0.584181	0.086709
G21	+	G2	0.002441	0.484733	0.003628
G22	-	G2	-0.004097	0.476677	-0.005989
G23	-	G2	-0.010565	0.289433	-0.009378
G24	+	G2	0.102473	0.998874	0.313926
G25	+	G2	0.112354	0.999701	0.344480
G26	+	G2	0.020636	0.448235	0.028369
G27	+	G2	0.100652	0.998897	0.308355
G28	+	G2	0.043493	0.757056	0.100985
G29	-	G2	-0.000033	0.497095	-0.000051
G30	+	G2	0.056405	0.871917	0.150834
G31	+	G2	0.078209	0.986822	0.236703
G32	+	G2	0.069437	0.969630	0.206493
G33	-	G2	-0.013181	0.417330	-0.016871
G34	+	G2	0.100670	0.998471	0.308278
G35	+	G2	0.028278	0.424670	0.036831
G36	+	G2	0.001448	0.485008	0.002154
G37	+	G2	0.066485	0.862196	0.175808
G38	+	G2	0.060567	0.884558	0.164313
G39	+	G2	0.025181	0.452273	0.034928
G40	+	G2	0.030922	0.597409	0.056656
G41	+	G2	0.042652	0.760928	0.099539
G42	+	G2	0.120378	0.999904	0.369158
G43	-	G2	-0.006904	0.270286	-0.005723
G44	+	G2	0.032294	0.565502	0.056010
G45	+	G2	0.033309	0.510444	0.052145
G46	-	G2	-0.001476	0.233930	-0.001059
G47	+	G2	0.010963	0.438179	0.014733
G48	+	G2	0.054545	0.840434	0.140593
G49	+	G2	0.058279	0.913720	0.163318
G50	+	G2	0.005009	0.497380	0.007641
G1	+	G3	0.000728	0.350607	0.000782
G2	+	G3	0.002504	0.357729	0.002747
G3	+	G3	0.000930	0.498325	0.001422
G4	+	G3	0.000396	0.480324	0.000583
G5	+	G3	0.001753	0.259968	0.001398
G6	-	G3	-0.000425	0.363252	-0.000473
G7	+	G3	0.000435	0.419448	0.000560
G8	+	G3	0.001580	0.315789	0.001530
G9	+	G3	0.003529	0.322281	0.003489
G10	+	G3	0.002213	0.234752	0.001594
G11	-	G3	-0.000246	0.493337	-0.000373
G12	-	G3	-0.002458	0.260440	-0.001963
G13	+	G3	0.001874	0.346727	0.001993
G14	+	G3	0.000627	0.288696	0.000555
G15	-	G3	-0.000257	0.290741	-0.000229
G16	-	G3	-0.003434	0.365698	-0.003852
G17	+	G3	0.002519	0.318511	0.002460
G18	+	G3	0.002564	0.255471	0.002009
G19	+	G3	0.002166	0.311308	0.002068
G20	-	G3	-0.000162	0.289692	-0.000144
G21	+	G3	0.002979	0.483534	0.004417
G22	+	G3	0.001322	0.475105	0.001926
G23	+	G3	0.002756	0.248337	0.002099
G24	+	G3	0.001368	0.334520	0.001403
G25	+	G3	0.000236	0.349595	0.000253
G26	+	G3	0.002629	0.386773	0.003119
G27	+	G3	0.002295	0.346816	0.002441
G28	-	G3	-0.000160	0.357713	-0.000176
G29	+	G3	0.000253	0.496860	0.000386
G30	+	G3	0.002218	0.325324	0.002213
G31	+	G3	0.001925	0.354350	0.002093
G32	+	G3	0.001076	0.356361	0.001176
G33	-	G3	-0.000361	0.390122	-0.000432
G34	+	G3	0.001129	0.330030	0.001143
G35	-	G3	-0.000795	0.264412	-0.000645
G36	-	G3	-0.002075	0.484645	-0.003084
G37	+	G3	0.000728	0.353393	0.000789
G38	+	G3	0.001225	0.322985	0.001213
G39	+	G3	0.005878	0.371188	0.006692
G40	+	G3	0.000822	0.363741	0.000917
G41	+	G3	0.001296	0.356954	0.001419
G42	+	G3	0.001117	0.357144	0.001224
G43	-	G3	-0.000736	0.255447	-0.000577
G44	+	G3	0.000788	0.389733	0.000942
G45	+	G3	0.002017	0.335304	0.002074
G46	-	G3	-0.002594	0.226084	-0.001799
G47	+	G3	0.001529	0.402940	0.001890
G48	+	G3	0.000547	0.276306	0.000464
G49	+	G3	0.000455	0.355051	0.000496
G50	+	G3	0.001150	0.495918	0.001749
G1	+	G4	0.008659	0.414110	0.010998
G2	+	G4	0.011071	0.445873	0.015139
G3	+	G4	0.000951	0.498353	0.001453
G4	+	G4	0.000209	0.480649	0.000309
G5	+	G4	0.007111	0.288062	0.006283
G6	+	G4	0.000545	0.374587	0.000626
G7	+	G4	0.015253	0.454335	0.021254
G8	+	G4	0.011258	0.375359	0.012960
G9	-	G4	-0.005202	0.327931	-0.005231
G10	+	G4	0.006868	0.256764	0.005409
G11	+	G4	0.006182	0.497040	0.009424
G12	-	G4	-0.005866	0.272749	-0.004907
G13	+	G4	0.021197	0.538911	0.035034
G14	+	G4	0.019806	0.541393	0.032887
G15	-	G4	-0.006964	0.318059	-0.006793
G16	+	G4	0.001412	0.366525	0.001588
G17	-	G4	-0.009863	0.370229	-0.011199
G18	-	G4	-0.003537	0.257369	-0.002792
G19	-	G4	-0.003036	0.318948	-0.002969
G20	-	G4	-0.005367	0.302120	-0.004973
G21	+	G4	0.003263	0.484356	0.004846
G22	-	G4	-0.000846	0.475044	-0.001232
G23	+	G4	0.003995	0.253733	0.003109
G24	+	G4	0.005885	0.368758	0.006656
G25	+	G4	0.012424	0.466361	0.017770
G26	-	G4	-0.009351	0.410488	-0.011773
G27	-	G4	-0.001127	0.354561	-0.001225
G28	+	G4	0.011954	0.454635	0.016667
G29	+	G4	0.000480	0.496956	0.000732
G30	+	G4	0.007400	0.358522	0.008137
G31	-	G4	-0.000228	0.365145	-0.000255
G32	+	G4	0.021336	0.675452	0.044199
G33	-	G4	-0.001537	0.392843	-0.001852
G34	+	G4	0.006399	0.361160	0.007088
G35	+	G4	0.017356	0.393659	0.020954
G36	-	G4	-0.007628	0.489950	-0.011462
G37	-	G4	-0.000841	0.359480	-0.000927
G38	-	G4	-0.007840	0.361272	-0.008686
G39	-	G4	-0.012115	0.398194	-0.014795
G40	+	G4	0.007246	0.403858	0.008975
G41	+	G4	0.015837	0.527368	0.025615
G42	-	G4	-0.003485	0.379154	-0.004053
G43	+	G4	0.008378	0.276892	0.007115
G44	+	G4	0.005808	0.411982	0.007339
G45	-	G4	-0.009821	0.368124	-0.011088
G46	+	G4	0.003592	0.232381	0.002560
G47	+	G4	0.006172	0.418102	0.007914
G48	-	G4	-0.006439	0.304363	-0.006011
G49	+	G4	0.000740	0.369217	0.000838
G50	+	G4	0.002760	0.496628	0.004204
G1	+	G5	0.102322	0.953191	0.299127
G2	+	G5	0.041501	0.552289	0.070297
G3	-	G5	-0.004461	0.498836	-0.006825
G4	-	G5	-0.000848	0.482098	-0.001254
G5	+	G5	0.097522	0.900723	0.269402
G6	-	G5	-0.042936	0.509351	-0.067073
G7	-	G5	-0.030647	0.453925	-0.042666
G8	+	G5	0.150415	0.989435	0.456440
G9	+	G5	0.002970	0.333744	0.003040
G10	+	G5	0.030748	0.324012	0.030555
G11	+	G5	0.006030	0.494712	0.009149
G12	+	G5	0.018098	0.290809	0.016141
G13	-	G5	-0.023459	0.406297	-0.029232
G14	+	G5	0.186501	0.999916	0.571942
