Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G48	G4	0.29159043928095	0.000166716695390086
G4	G48	0.29159043928095	0.000166716695390089
G3	G50	0.282750829128437	0.000266724217646405
G50	G3	0.282750829128437	0.000266724217646409
G31	G4	0.270466283561869	0.000499687655841475
G4	G31	0.270466283561869	0.00049968765584148
G7	G22	0.265820778366779	0.000628822309100012
G22	G7	0.265820778366779	0.000628822309100021
G36	G10	0.261343430102859	0.000781752794379879
G10	G36	0.261343430102858	0.000781752794379887
G27	G42	0.259392470750901	0.000858528388816008
G42	G27	0.259392470750901	0.00085852838881601
G26	G15	0.259382213351194	0.000858949740415512
G15	G26	0.259382213351194	0.00085894974041552
G40	G42	0.252959047429913	0.00116343124678412
G42	G40	0.252959047429913	0.00116343124678412
G18	G31	0.251946235176022	0.00121959840749268
G31	G18	0.251946235176022	0.00121959840749268
G28	G26	0.24816834150327	0.00145169185400941
G26	G28	0.24816834150327	0.00145169185400941
G33	G43	0.246010711519288	0.00160168268287873
G43	G33	0.246010711519288	0.00160168268287874
G36	G21	0.243603114684017	0.00178563391359482
G21	G36	0.243603114684017	0.00178563391359483
G14	G28	0.237876417881656	0.00230290463767174
G28	G14	0.237876417881656	0.00230290463767175
G44	G22	0.232824729981713	0.00286828594028991
G22	G44	0.232824729981713	0.00286828594028994
G25	G22	0.227984431630111	0.00352483008234677
G22	G25	0.227984431630111	0.0035248300823468
G29	G15	0.227112144412085	0.00365662003566463
G15	G29	0.227112144412085	0.00365662003566463
G15	G49	0.226800393881421	0.00370478701784442
G49	G15	0.226800393881421	0.00370478701784447
G50	G10	0.226479302018971	0.00375499387194679
G10	G50	0.226479302018971	0.00375499387194681
G35	G16	0.225395953152901	0.00392894135388859
G16	G35	0.225395953152901	0.00392894135388859
G7	G11	0.221998470204718	0.00452245901725801
G11	G7	0.221998470204718	0.00452245901725802
G28	G25	0.219547097741784	0.00499941051091263
G25	G28	0.219547097741784	0.00499941051091263
G3	G49	0.215878254836913	0.00579759297829543
G49	G3	0.215878254836913	0.00579759297829543
G22	G42	0.214506536840234	0.00612408667190094
G42	G22	0.214506536840234	0.00612408667190097
G17	G33	0.214192418820911	0.00620112212935152
G33	G17	0.21419241882091	0.00620112212935153
G35	G41	0.207790322984087	0.00797128475127645
G41	G35	0.207790322984087	0.00797128475127645
G18	G1	0.207711166579587	0.00799572472731324
G1	G18	0.207711166579587	0.00799572472731328
G21	G7	0.206321799481057	0.00843565566988871
G7	G21	0.206321799481057	0.00843565566988871
G12	G25	0.203751529934553	0.00930633218995408
G25	G12	0.203751529934553	0.00930633218995408
G26	G34	0.203097097258558	0.00954033129058472
G34	G26	0.203097097258558	0.00954033129058476
G45	G10	0.199786863763373	0.0108053468094108
G10	G45	0.199786863763373	0.0108053468094108
G8	G29	0.199300179928826	0.0110032793459699
G29	G8	0.199300179928826	0.0110032793459699
G48	G50	0.198294986341682	0.0114222157707565
G50	G48	0.198294986341682	0.0114222157707566
G19	G11	0.197316503517101	0.0118434262052645
G11	G19	0.197316503517101	0.0118434262052645
G31	G50	0.196956670892152	0.0120017216359126
G50	G31	0.196956670892152	0.0120017216359126
G43	G38	0.196531932955937	0.0121909581079828
G38	G43	0.196531932955937	0.0121909581079828
G31	G7	0.196394628693631	0.0122526898970546
G7	G31	0.196394628693631	0.0122526898970546
G48	G28	0.196315326725026	0.0122884687832887
G28	G48	0.196315326725026	0.0122884687832887
G4	G25	0.195889323264701	0.0124822434032222
G25	G4	0.195889323264701	0.0124822434032222
G2	G19	0.195800747694851	0.0125228683761529
G19	G2	0.195800747694851	0.012522868376153
