Gene1	Gene2	Score
G9	G8	0.789453541926327
G8	G9	0.789453541926327
G47	G16	-0.760103119588774
G16	G47	-0.760103119588774
G27	G16	-0.716604505071968
G16	G27	-0.716604505071968
G49	G17	-0.693017570143001
G17	G49	-0.693017570143001
G37	G27	-0.691655787896233
G27	G37	-0.691655787896233
G40	G9	-0.688425335014034
G9	G40	-0.688425335014034
G18	G13	-0.679759327453854
G13	G18	-0.679759327453854
G29	G13	-0.657825411249861
G13	G29	-0.657825411249861
G33	G20	0.656029315320101
G20	G33	0.656029315320101
G30	G13	0.646142785469298
G13	G30	0.646142785469298
G3	G1	-0.64351983043957
G1	G3	-0.64351983043957
G42	G24	-0.642835148331075
G24	G42	-0.642835148331075
G29	G18	0.634377082387614
G18	G29	0.634377082387614
G30	G29	-0.623257981863931
G29	G30	-0.623257981863931
G47	G27	0.619630072272445
G27	G47	0.619630072272445
G5	G3	0.616650647859479
G3	G5	0.616650647859479
G8	G6	-0.615653472900655
G6	G8	-0.615653472900655
G23	G7	0.589042727112313
G7	G23	0.589042727112313
G5	G2	-0.58591459190995
G2	G5	-0.58591459190995
G22	G13	-0.583427529756174
G13	G22	-0.583427529756174
G11	G9	0.579150682075798
G9	G11	0.579150682075798
G5	G1	-0.574924694924192
G1	G5	-0.574924694924192
G23	G15	0.570529239401059
G15	G23	0.570529239401059
G35	G18	-0.568649758694022
G18	G35	-0.568649758694022
G49	G35	0.563637648578971
G35	G49	0.563637648578971
G47	G39	0.557768736962419
G39	G47	0.557768736962419
G39	G8	-0.553215901409158
G8	G39	-0.553215901409158
G11	G8	0.552686179432338
G8	G11	0.552686179432338
G40	G8	-0.544172518956112
G8	G40	-0.544172518956112
G23	G4	-0.543887184238818
G4	G23	-0.543887184238818
G39	G34	-0.539975482844398
G34	G39	-0.539975482844398
G15	G7	0.536657776333301
G7	G15	0.536657776333301
G47	G37	-0.529820443735642
G37	G47	-0.529820443735642
G50	G7	0.522271287667031
G7	G50	0.522271287667031
G2	G1	0.51803412137826
G1	G2	0.51803412137826
G42	G39	-0.515714504903542
G39	G42	-0.515714504903542
G9	G6	-0.514515727983049
G6	G9	-0.514515727983049
G43	G19	-0.513909568188756
G19	G43	-0.513909568188756
G47	G29	0.506573540270733
G29	G47	0.506573540270733
G7	G4	-0.505826337040054
G4	G7	-0.505826337040054
G35	G17	-0.50489711036869
G17	G35	-0.50489711036869
G43	G28	0.503136261169623
G28	G43	0.503136261169623
G49	G18	-0.50131578647963
G18	G49	-0.50131578647963
G13	G3	-0.493721209598226
G3	G13	-0.493721209598226
G47	G30	-0.487448509278226
G30	G47	-0.487448509278226
G37	G16	0.487020578040801
G16	G37	0.487020578040801
G22	G7	-0.485652474794683
G7	G22	-0.485652474794683
G16	G13	0.480654860691722
G13	G16	0.480654860691722
G29	G16	-0.479392549638822
G16	G29	-0.479392549638822
G44	G33	0.479200993448598
G33	G44	0.479200993448598
G42	G25	0.478088629118273
G25	G42	0.478088629118273
G33	G17	-0.471930320344315
G17	G33	-0.471930320344315
G48	G14	-0.470420222068101
G14	G48	-0.470420222068101
G31	G27	-0.467698262160964
G27	G31	-0.467698262160964
G47	G34	-0.465446007290758
G34	G47	-0.465446007290758
G43	G30	-0.464328486145428
G30	G43	-0.464328486145428
G27	G13	-0.463540185413724
G13	G27	-0.463540185413724
G44	G20	0.463287333227192
G20	G44	0.463287333227192
G27	G18	0.459431891277856
G18	G27	0.459431891277856
G44	G18	-0.459358068912473
G39	G6	0.458495482588014
G6	G39	0.458495482588014
G5	G4	-0.456566722091407
G4	G5	-0.456566722091407
G18	G3	0.456208278079748
G3	G18	0.456208278079748
G49	G20	0.455698003942956
G20	G49	0.455698003942956
G49	G33	0.454671257084739
G33	G49	0.454671257084739
G50	G24	-0.451195244336386
G18	G16	-0.449819778532266
G16	G18	-0.449819778532266
G50	G35	0.449801370772488
G35	G50	0.449801370772488
G30	G16	0.447510374602303
G16	G30	0.447510374602303
G29	G25	-0.446913966723712
G25	G29	-0.446913966723712
G18	G17	0.445283439824037
G17	G18	0.445283439824037
G29	G27	0.439233944479815
G27	G29	0.439233944479815
G27	G1	-0.438452289941589
G1	G27	-0.438452289941589
G50	G13	0.437892740306593
G13	G50	0.437892740306593
G3	G2	-0.437385320031918
G2	G3	-0.437385320031918
G42	G4	-0.43683810168273
G4	G42	-0.43683810168273
G27	G3	0.43671196358326
G3	G27	0.43671196358326
G30	G28	-0.436370194041289
G28	G30	-0.436370194041289
G11	G6	-0.432435341394695
G6	G11	-0.432435341394695
G30	G18	-0.43175899726992
G18	G30	-0.43175899726992
G22	G18	0.431055943514987
G18	G22	0.431055943514987
G37	G24	-0.429237841659375
G24	G37	-0.429237841659375
G13	G1	0.424963104259445
G1	G13	0.424963104259445
G28	G10	0.42453859365101
G10	G28	0.42453859365101
G40	G17	0.423294627844344
