Gene1	Gene2	Score
G38	G36	0.899818462542089
G36	G38	0.899818462542089
G22	G21	0.892636482923799
G21	G22	0.892636482923799
G45	G39	-0.853817470888213
G39	G45	-0.853817470888213
G23	G21	-0.8416490750079
G21	G23	-0.8416490750079
G14	G10	-0.827877822491891
G10	G14	-0.827877822491891
G10	G2	0.823852135324506
G2	G10	0.823852135324506
G38	G21	0.804047815936314
G21	G38	0.804047815936314
G29	G8	0.800552301799984
G8	G29	0.800552301799984
G12	G10	0.797587670282316
G10	G12	0.797587670282316
G23	G22	-0.789768641340446
G22	G23	-0.789768641340446
G36	G22	0.787910804984428
G22	G36	0.787910804984428
G38	G22	0.778522670093861
G22	G38	0.778522670093861
G21	G8	-0.777303432841354
G8	G21	-0.777303432841354
G16	G10	-0.768768122586518
G10	G16	-0.768768122586518
G48	G33	0.756389512831319
G33	G48	0.756389512831319
G36	G21	0.754964795682959
G21	G36	0.754964795682959
G50	G33	-0.752710068744096
G33	G50	-0.752710068744096
G34	G21	0.743704165814441
G21	G34	0.743704165814441
G14	G12	-0.736732211201032
G12	G14	-0.736732211201032
G38	G8	-0.735731584457974
G8	G38	-0.735731584457974
G43	G39	-0.716565438080419
G39	G43	-0.716565438080419
G34	G22	0.704874040957745
G22	G34	0.704874040957745
G38	G23	-0.702648147444992
G23	G38	-0.702648147444992
G19	G2	0.697942965036729
G2	G19	0.697942965036729
G48	G46	-0.695633723250801
G46	G48	-0.695633723250801
G26	G21	0.693889960182795
G21	G26	0.693889960182795
G49	G6	-0.69193802516809
G6	G49	-0.69193802516809
G47	G6	0.690450289093827
G6	G47	0.690450289093827
G49	G30	-0.685798898248707
G30	G49	-0.685798898248707
G23	G8	0.674728848072803
G8	G23	0.674728848072803
G22	G8	-0.670355040589509
G8	G22	-0.670355040589509
G44	G43	0.66941502310319
G43	G44	0.66941502310319
G36	G23	-0.665539381741254
G23	G36	-0.665539381741254
G16	G14	0.663967332091269
G14	G16	0.663967332091269
G48	G7	0.66294348332121
G7	G48	0.66294348332121
