Gene,MaxActivators,MaxRepressors,Threshold
G1, 1, 1, 95
G2, 0, 0, 95
G3, 1, 1, 95
G4, 2, 2, 95
G5, 0, 0, 95
G6, 2, 2, 95
G7, 2, 2, 95
G8, 2, 2, 95
G9, 2, 2, 95
G10, 0, 0, 95
G11, 0, 0, 95
G12, 1, 1, 95
G13, 1, 1, 95
G14, 1, 1, 95
G15, 1, 1, 95
G16, 0, 0, 95
G17, 1, 1, 95
G18, 2, 2, 95
G19, 1, 1, 95
G20, 1, 1, 95
G21, 1, 1, 95
G22, 2, 2, 95
G23, 0, 0, 95
G24, 1, 1, 95
G25, 1, 1, 95
G26, 1, 1, 95
G27, 2, 2, 95
G28, 0, 0, 95
G29, 2, 2, 95
G30, 0, 0, 95
G31, 1, 1, 95
G32, 0, 0, 95
G33, 0, 0, 95
G34, 0, 0, 95
G35, 2, 2, 95
G36, 2, 2, 95
G37, 2, 2, 95
G38, 1, 1, 95
G39, 1, 1, 95
G40, 2, 2, 95
G41, 1, 1, 95
G42, 1, 1, 95
G43, 2, 2, 95
G44, 2, 2, 95
G45, 2, 2, 95
G46, 1, 1, 95
G47, 1, 1, 95
G48, 1, 1, 95
G49, 1, 1, 95
G50, 0, 0, 95
G51, 1, 1, 95
G52, 1, 1, 95
G53, 1, 1, 95
G54, 2, 2, 95
G55, 2, 2, 95
G56, 0, 0, 95
G57, 2, 2, 95
G58, 2, 2, 95
G59, 2, 2, 95
G60, 2, 2, 95
G61, 2, 2, 95
G62, 1, 1, 95
G63, 2, 2, 95
G64, 1, 1, 95
G65, 2, 2, 95
G66, 2, 2, 95
G67, 1, 1, 95
G68, 0, 0, 95
G69, 2, 2, 95
G70, 0, 0, 95
G71, 1, 1, 95
G72, 0, 0, 95
G73, 0, 0, 95
G74, 0, 0, 95
G75, 0, 0, 95
G76, 1, 1, 95
G77, 2, 2, 95
G78, 2, 2, 95
G79, 0, 0, 95
G80, 0, 0, 95
G81, 2, 2, 95
G82, 2, 2, 95
G83, 2, 2, 95
G84, 2, 2, 95
G85, 0, 0, 95
G86, 1, 1, 95
G87, 0, 0, 95
G88, 2, 2, 95
G89, 2, 2, 95
G90, 0, 0, 95
G91, 2, 2, 95
G92, 2, 2, 95
G93, 2, 2, 95
G94, 0, 0, 95
G95, 1, 1, 95
G96, 0, 0, 95
G97, 2, 2, 95
G98, 0, 0, 95
G99, 0, 0, 95
G100, 0, 0, 95
